Log created: 2025-07-15 18:27:41
Type: backup
[2025-07-15 18:28:31][notice]Compressing zip file:localhost_motogrua_wpvivid-c8f695264a8d0_2025-07-15-18-27_backup_themes.part001.zip success. index:1858 file size:54,07 MB
[2025-07-15 18:28:31][notice]Backing up backup_themes completed.
[2025-07-15 18:28:31][notice]Prepare to backup backup_plugin files.
[2025-07-15 18:28:41][notice]Compressing zip file:localhost_motogrua_wpvivid-c8f695264a8d0_2025-07-15-18-27_backup_plugin.part001.zip index:12688
[2025-07-15 18:32:29][notice]Compressing zip file:localhost_motogrua_wpvivid-c8f695264a8d0_2025-07-15-18-27_backup_plugin.part001.zip success. index:12688 file size:67,57 MB
[2025-07-15 18:32:29][notice]Compressing zip file:localhost_motogrua_wpvivid-c8f695264a8d0_2025-07-15-18-27_backup_plugin.part002.zip index:20879
[2025-07-15 18:34:02][notice]Compressing zip file:localhost_motogrua_wpvivid-c8f695264a8d0_2025-07-15-18-27_backup_plugin.part002.zip success. index:20879 file size:26,55 MB
[2025-07-15 18:34:02][notice]Backing up backup_plugin completed.
[2025-07-15 18:34:02][notice]Prepare to backup backup_uploads files.
[2025-07-15 18:34:03][notice]Compressing zip file:localhost_motogrua_wpvivid-c8f695264a8d0_2025-07-15-18-27_backup_uploads.part001.zip index:2786
[2025-07-15 18:34:21][notice]Compressing zip file:localhost_motogrua_wpvivid-c8f695264a8d0_2025-07-15-18-27_backup_uploads.part001.zip success. index:2786 file size:151,16 MB
[2025-07-15 18:34:21][notice]Backing up backup_uploads completed.
[2025-07-15 18:34:21][notice]Prepare to backup backup_content files.
[2025-07-15 18:34:21][notice]Compressing zip file:localhost_motogrua_wpvivid-c8f695264a8d0_2025-07-15-18-27_backup_content.part001.zip index:530
[2025-07-15 18:34:36][notice]Compressing zip file:localhost_motogrua_wpvivid-c8f695264a8d0_2025-07-15-18-27_backup_content.part001.zip success. index:530 file size:4,39 MB
[2025-07-15 18:34:36][notice]Backing up backup_content completed.
[2025-07-15 18:34:36][notice]Prepare to backup backup_core files.
[2025-07-15 18:34:38][notice]Compressing zip file:localhost_motogrua_wpvivid-c8f695264a8d0_2025-07-15-18-27_backup_core.part001.zip index:2810
[2025-07-15 18:35:42][notice]Compressing zip file:localhost_motogrua_wpvivid-c8f695264a8d0_2025-07-15-18-27_backup_core.part001.zip success. index:2810 file size:14,48 MB
[2025-07-15 18:35:42][notice]Backing up backup_core completed.
[2025-07-15 18:35:42][notice]Prepare to backup backup_merge files.
[2025-07-15 18:35:42][notice]Prepare to zip file. file: localhost_motogrua_wpvivid-c8f695264a8d0_2025-07-15-18-27_backup_db.zip
[2025-07-15 18:35:42][notice]Prepare to zip file. file: localhost_motogrua_wpvivid-c8f695264a8d0_2025-07-15-18-27_backup_themes.zip
[2025-07-15 18:35:42][notice]Prepare to zip file. file: localhost_motogrua_wpvivid-c8f695264a8d0_2025-07-15-18-27_backup_plugin.part001.zip
[2025-07-15 18:35:42][notice]Prepare to zip file. file: localhost_motogrua_wpvivid-c8f695264a8d0_2025-07-15-18-27_backup_plugin.part002.zip
[2025-07-15 18:35:42][notice]Prepare to zip file. file: localhost_motogrua_wpvivid-c8f695264a8d0_2025-07-15-18-27_backup_uploads.zip
[2025-07-15 18:35:42][notice]Prepare to zip file. file: localhost_motogrua_wpvivid-c8f695264a8d0_2025-07-15-18-27_backup_content.zip
[2025-07-15 18:35:42][notice]Prepare to zip file. file: localhost_motogrua_wpvivid-c8f695264a8d0_2025-07-15-18-27_backup_core.zip
[2025-07-15 18:35:42][notice]Backing up backup_merge completed.
[2025-07-15 18:35:42][notice]Backup completed.
